jaccard,distance,age_diff,bio_similarity,label
0.16666666666666666,0.6,2.0,0.15785081684589386,1.0
0.14285714285714285,63.28,1.0,0.6065310835838318,1.0
0.4,0.0,1.0,0.13315142691135406,1.0
0.5,63.28,5.0,0.45459306240081787,1.0
0.16666666666666666,68.9,3.0,0.43217796087265015,1.0
0.16666666666666666,88.57,9.0,0.5769500136375427,1.0
0.2,68.96,5.0,0.07211580127477646,1.0
0.2,68.96,9.0,0.1636577546596527,1.0
0.125,68.96,6.0,0.1512306034564972,1.0
0.2857142857142857,0.13,5.0,0.18436110019683838,1.0
0.25,0.13,10.0,0.02926827035844326,0.0
0.2,0.13,9.0,0.0217608530074358,0.0
0.1111111111111111,68.96,10.0,0.0404236875474453,1.0
0.2,68.96,3.0,0.04530451446771622,1.0
0.1111111111111111,68.96,2.0,0.031224599108099937,0.0
0.14285714285714285,68.96,5.0,0.04530451446771622,1.0
0.125,68.96,1.0,0.06395458430051804,1.0
0.125,68.96,2.0,0.0404236875474453,0.0
0.14285714285714285,0.13,5.0,0.18436110019683838,1.0
0.2857142857142857,68.96,6.0,0.05442288517951965,1.0
0.4,68.96,4.0,0.02926827035844326,1.0
0.2,68.96,6.0,0.25821220874786377,1.0
0.16666666666666666,68.96,1.0,0.0404236875474453,1.0
0.4,0.0,8.0,0.1696244776248932,1.0
0.16666666666666666,0.6,1.0,0.38722002506256104,1.0
0.16666666666666666,68.96,4.0,0.12801790237426758,1.0
0.16666666666666666,68.96,2.0,0.18585923314094543,1.0
0.4,0.13,4.0,0.30021703243255615,1.0
0.16666666666666666,0.13,7.0,0.15749593079090118,1.0
0.16666666666666666,0.13,0.0,0.15157079696655273,1.0
0.16666666666666666,0.13,8.0,0.07435449212789536,1.0
0.4,0.6,5.0,0.21653522551059723,1.0
0.16666666666666666,68.96,2.0,0.14272131025791168,1.0
0.16666666666666666,68.96,1.0,0.5080693364143372,1.0
0.4,0.13,3.0,0.3442783057689667,1.0
0.16666666666666666,0.13,2.0,0.15060417354106903,1.0
0.16666666666666666,68.96,3.0,0.4543806314468384,1.0
0.4,68.96,7.0,0.5837110877037048,1.0
0.16666666666666666,0.6,5.0,0.2594339847564697,1.0
0.4,68.96,6.0,0.48323991894721985,1.0
0.16666666666666666,68.96,9.0,0.09229382127523422,1.0
0.16666666666666666,0.6,5.0,0.25963160395622253,1.0
0.16666666666666666,0.6,4.0,0.11849356442689896,1.0
0.75,0.13,2.0,0.4504348933696747,1.0
0.4,0.13,1.0,0.36727532744407654,1.0
0.16666666666666666,0.13,5.0,0.127560555934906,1.0
0.75,0.13,10.0,0.3987638056278229,1.0
0.4,0.13,5.0,0.3534054458141327,1.0
0.16666666666666666,0.13,2.0,0.1030510887503624,1.0
0.16666666666666666,68.96,5.0,0.4044661521911621,0.0
0.16666666666666666,93.86,3.0,0.4885750710964203,1.0
0.16666666666666666,85.32,8.0,0.362272173166275,1.0
0.16666666666666666,99.77,3.0,0.2868688404560089,1.0
0.16666666666666666,87.11,4.0,0.1677820384502411,1.0
0.16666666666666666,0.13,2.0,0.09045074880123138,1.0
0.16666666666666666,85.32,10.0,0.2331399768590927,1.0
0.25,0.09,4.0,0.20162636041641235,1.0
0.25,0.0,9.0,0.6388201713562012,1.0
0.25,13.36,8.0,0.09111740440130234,1.0
0.25,0.03,5.0,0.4028407633304596,1.0
0.25,0.03,3.0,0.17691999673843384,1.0
0.16666666666666666,0.03,1.0,0.29871469736099243,1.0
0.16666666666666666,0.03,9.0,0.10932458192110062,1.0
0.25,0.03,6.0,0.19559833407402039,1.0
0.6666666666666666,0.03,5.0,0.2153102606534958,1.0
0.25,0.03,5.0,0.28528305888175964,1.0
0.25,0.03,1.0,0.12761664390563965,1.0
0.25,92.44,5.0,0.282443106174469,1.0
0.6666666666666666,0.03,1.0,0.21036161482334137,1.0
0.25,0.03,9.0,0.3310104012489319,1.0
0.25,0.03,1.0,0.30746617913246155,1.0
0.25,92.44,0.0,0.2930859923362732,1.0
0.5,98.76,2.0,0.29021453857421875,1.0
0.2,38.23,4.0,0.528089165687561,1.0
0.2,63.28,0.0,0.3498809039592743,1.0
0.16666666666666666,0.0,7.0,0.19867153465747833,1.0
0.2,71.22,0.0,0.09376462548971176,1.0
0.2,63.29,3.0,0.09270761907100677,1.0
0.2,71.22,2.0,0.0777062326669693,1.0
0.2,71.22,1.0,0.18698564171791077,1.0
0.5,71.22,8.0,0.31014880537986755,1.0
0.2,63.18,6.0,0.38601112365722656,1.0
0.2,71.22,5.0,0.46878230571746826,1.0
0.5,80.45,9.0,0.08301489055156708,1.0
0.25,63.29,0.0,0.3258841931819916,1.0
0.14285714285714285,80.01,0.0,0.04012705758213997,1.0
0.2857142857142857,80.01,4.0,0.01767107844352722,1.0
0.25,80.01,9.0,0.025808896869421005,1.0
0.3333333333333333,63.26,2.0,0.14909327030181885,1.0
0.2,80.01,8.0,0.2207513451576233,1.0
0.14285714285714285,80.01,5.0,0.1860768347978592,0.0
0.14285714285714285,63.26,8.0,0.1675758808851242,1.0
0.125,63.26,8.0,0.12926419079303741,1.0
0.2,80.01,2.0,0.20728735625743866,1.0
0.2,63.28,9.0,0.14802663028240204,1.0
0.2,63.26,1.0,0.20709744095802307,1.0
0.2,62.88,5.0,0.10833355784416199,1.0
0.25,63.26,4.0,0.2612047791481018,1.0
0.2,63.26,1.0,0.3716653287410736,1.0
0.2,63.26,1.0,0.11850752681493759,1.0
0.2,80.01,6.0,0.3818381130695343,1.0
0.2,62.88,2.0,0.41672149300575256,1.0
0.2,80.01,5.0,0.10877189040184021,1.0
0.2,80.01,6.0,0.017056291922926903,1.0
0.2,63.26,1.0,0.4313367009162903,1.0
0.2,80.01,1.0,0.061393506824970245,1.0
0.2,65.06,7.0,0.023661179468035698,1.0
0.2,51.58,5.0,0.16518616676330566,1.0
0.2,62.88,7.0,0.3603675067424774,1.0
0.2,80.01,5.0,0.07815586030483246,1.0
0.2,62.88,2.0,0.3308044373989105,1.0
0.2,62.88,4.0,0.5351937413215637,1.0
0.2,62.88,1.0,0.3907219171524048,1.0
0.2,80.01,3.0,0.27287206053733826,1.0
0.2,65.06,6.0,0.1386106163263321,1.0
0.2,80.01,3.0,0.4738404154777527,1.0
0.2,63.26,6.0,0.45547541975975037,1.0
0.2,80.01,1.0,0.04787931591272354,1.0
0.5,80.01,0.0,0.1599321961402893,1.0
0.2,51.58,0.0,0.5398507714271545,1.0
